,prompt,completion
0,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></form>"," [{""label"":""clay diagram join"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""kind captured doing lay dog tiny generally owner attention wrapped"",""text"":null,""type"":""switch"",""options"":null}]"
1,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></div><div aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""6"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""spinbutton"" step=""3"" value=""6""></div></div><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""rise rain plane"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""merely increase floor forest child note composition"",""min"":-100,""max"":100,""step"":3,""type"":""number"",""options"":null},{""label"":""bread"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""hay electric cloud equator page perhaps forgotten picture"",""min"":-100,""max"":100,""step"":4,""marks"":{""40"":""breathe"",""-56"":""function real"",""-16"":""lungs"",""-81"":""clock shadow""},""reversed"":true,""vertical"":false,""range"":false,""graduated"":true,""type"":""slider"",""options"":null}]"
2,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></form>"," [{""label"":""congress think ran"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""just airplane seldom ring wait title plan blind hurry"",""text"":null,""type"":""switch"",""options"":null}]"
3,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""southern tree"">southern tree</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">southern tree</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></form>"," [{""label"":""southern tree"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""numeral imagine already leather cake planning describe"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""upload"",""options"":null,""defaultValue"":null}]"
4,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""service"">service</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">service</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""salmon 1"" color=""black 0""><span aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" fontsize=""0.8571428571428571"" unselectable=""on""><span aria-hidden=""true"" aria-label=""down"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""down"" fill=""currentColor"" focusable=""false"" fontsize=""0.8571428571428571"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></div></form>"," [{""label"":""service"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""fog ahead older"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""hill"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""wrapped wooden thick none loose get done"",""maxTagCount"":1,""mode"":""single"",""options"":null,""type"":""select""},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
5,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""shoulder"">shoulder</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""radio"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">shoulder</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0"" disabled="""" placeholder=""Start month"" readonly="""" size=""12"" value=""""></div><div aria-hidden=""true"" aria-label=""swap-right"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" fontsize=""1.1428571428571428"" height=""1em"" role=""img"" viewbox=""0 0 1024 1024"" width=""1em""></div><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0"" disabled="""" placeholder=""End month"" readonly="""" size=""12"" value=""""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span aria-hidden=""true"" aria-label=""calendar"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""calendar"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""orange 1"" color=""black 0""><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""Start quarter"" readonly="""" size=""12"" value=""""></div><div aria-hidden=""true"" aria-label=""swap-right"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" fontsize=""1.1428571428571428"" height=""1em"" role=""img"" viewbox=""0 0 1024 1024"" width=""1em""></div><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""End quarter"" readonly="""" size=""12"" value=""""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span aria-hidden=""true"" aria-label=""calendar"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""calendar"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""orange 1"" color=""black 0""><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""Start month"" readonly="""" size=""12"" value=""""></div><div aria-hidden=""true"" aria-label=""swap-right"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" fontsize=""1.1428571428571428"" height=""1em"" role=""img"" viewbox=""0 0 1024 1024"" width=""1em""></div><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""End month"" readonly="""" size=""12"" value=""""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span aria-hidden=""true"" aria-label=""calendar"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""calendar"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""Start time"" readonly="""" size=""10"" value=""""></div><div aria-hidden=""true"" aria-label=""swap-right"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" fontsize=""1.1428571428571428"" height=""1em"" role=""img"" viewbox=""0 0 1024 1024"" width=""1em""></div><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""End time"" readonly="""" size=""10"" value=""""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span aria-hidden=""true"" aria-label=""clock-circle"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""clock-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""><path backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></path><path backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></path></span><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""khaki 1"" color=""black 0""><span aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" role=""combobox"" type=""search"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div></div></form>"," [{""label"":""shoulder"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""instant situation beyond"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""fireplace order fish kill railroad onto sick take indeed pass"",""picker"":""month"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""label"":""substance sad"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""spent mouse ring electric say ring detail did zipper"",""picker"":""quarter"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""label"":""strong today"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""face near under act cut exclaimed condition either wonderful"",""picker"":""month"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""eager"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""collect ranch tall serious salt direction map public frighten almost"",""picker"":""time"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""label"":""longer"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""manner current willing garden bee"",""options"":null,""type"":""autoComplete""},{""label"":""cake bee stick"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":null,""text"":null,""type"":""switch"",""options"":null}]"
6,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></form>"," [{""label"":""among"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""smooth refer your adjective mark"",""text"":null,""type"":""switch"",""options"":null}]"
7,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""onto"">onto</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">onto</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""salmon 1"" color=""black 0""><span aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" fontsize=""0.8571428571428571"" unselectable=""on""><span aria-hidden=""true"" aria-label=""down"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""down"" fill=""currentColor"" focusable=""false"" fontsize=""0.8571428571428571"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""onto"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""bank enter however loss lonely mostly reader"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""inside bound soap"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""engineer world sing came does where improve"",""maxTagCount"":2,""mode"":""single"",""options"":null,""type"":""select""}]"
8,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""able"">able</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""radio"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">able</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""able"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""table else music consider sell total acres sign"",""renderAs"":null,""type"":""radio"",""options"":null}]"
9,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""across storm"">across storm</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_2"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""> </span></div></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""perfect nature"">perfect nature</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""radio"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">perfect nature</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><span aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_3"" role=""combobox"" type=""search"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></span></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""label"":""date beneath brass"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""dirty soldier produce refer"",""maxTagCount"":2,""mode"":""multiple"",""options"":null,""type"":""select""},{""label"":""perfect nature"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""flat man list public independent"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""dream task"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""create dead like larger double"",""options"":null,""type"":""autoComplete""},{""label"":""weak"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""closer perhaps drop fence protection let grown become sky giving"",""min"":-100,""max"":100,""step"":2,""marks"":{""-88"":""copy"",""-6"":""finally familiar""},""reversed"":false,""vertical"":false,""range"":true,""graduated"":true,""type"":""slider"",""options"":null}]"
