,prompt,completion
0,"<form><div><div></div><div></div></div><div><div><div><div><div><label title=""new indicate"">new indicate</label></div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span>new indicate</span></label></div></div><div><div role=""alert""><div>pie struck general development under speed sign private mother</div></div><div></div></div></div></div><div></div></div></div><div></div></div></form>","[{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""new indicate"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""pie struck general development under speed sign private mother"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
1,"<form><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>promised got giant correctly brown that bright noise decide perfect</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><label title=""tried buried"">tried buried</label></div><div><div><div><label><span><input type=""checkbox"" value=""""/><span></span></span><span>tried buried</span></label></div></div><div><div role=""alert""><div>parts shirt fierce form carefully within tail possibly eleven speak</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><div><span title=""grow""><span>grow</span></span></div><div><div><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""""/><span aria-hidden=""true""> </span></div></div></div></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>position barn struck move empty flag</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""cage"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""promised got giant correctly brown that bright noise decide perfect"",""maxTagCount"":2,""mode"":""single"",""options"":null,""type"":""select""},{""label"":""tried buried"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""parts shirt fierce form carefully within tail possibly eleven speak"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":null,""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""position barn struck move empty flag"",""maxTagCount"":0,""mode"":""tags"",""options"":null,""type"":""select""}]"
2,"<form><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""""/></span><span></span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""beautiful number""/></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>present probably birth caught aside</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""salt"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""form check till variety"",""options"":null,""type"":""autoComplete""},{""label"":""tropical be"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""present probably birth caught aside"",""options"":null,""type"":""autoComplete""}]"
4,"<form><div><div><div><div><div><label title=""song impossible danger"">song impossible danger</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>song impossible danger</span></label></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><label title=""tight parent cat"">tight parent cat</label></div><div><div><div><label><span><input type=""checkbox"" value=""""/><span></span></span><span>tight parent cat</span></label></div></div><div><div role=""alert""><div>sang hat greatly get</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div></form>","[{""label"":""song impossible danger"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""wet disease but class effort zulu wagon"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""tight parent cat"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""sang hat greatly get"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""upload"",""options"":null,""defaultValue"":null}]"
5,"<form><div><div><div><div><div><label title=""flies"">flies</label></div><div><div><div><label><span><input type=""radio"" value=""""/><span></span></span><span>flies</span></label></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><label title=""below lunch nearby"">below lunch nearby</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>below lunch nearby</span></label></div></div><div><div role=""alert""><div>pet laugh properly slave spring highway full</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div></div></div><div><div></div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""29"" autocomplete=""off"" role=""spinbutton"" step=""3"" value=""29""/></div></div><span><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div></div></div></div></div></div></form>","[{""label"":""flies"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""center influence sheep oil metal who stream cloud southern list"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""below lunch nearby"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""pet laugh properly slave spring highway full"",""renderAs"":{""type"":""button"",""values"":{""label"":[""knowledge""]}},""type"":""radio"",""options"":null},{""type"":""upload"",""options"":null,""defaultValue"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""lake fall"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":null,""min"":-100,""max"":100,""step"":3,""type"":""number"",""options"":null}]"
6,"<form><div><div><div><div><div><div><div><div><div><input autocomplete=""off"" placeholder=""Start week"" readonly="""" size=""12"" value=""""/></div><div><span aria-label=""to""><span aria-label=""swap-right"" role=""img""><svg aria-hidden=""true"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""0 0 1024 1024"" width=""1em""><path d=""M873.1 596.2l-164-208A32 32 0 00684 376h-64.8c-6.7 0-10.4 7.7-6.3 13l144.3 183H152c-4.4 0-8 3.6-8 8v60c0 4.4 3.6 8 8 8h695.9c26.8 0 41.7-30.8 25.2-51.8z""></path></svg></span></span></div><div><input autocomplete=""off"" placeholder=""End week"" readonly="""" size=""12"" value=""""/></div><div></div><span><span aria-label=""calendar"" role=""img""><svg aria-hidden=""true"" data-icon=""calendar"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M880 184H712v-64c0-4.4-3.6-8-8-8h-56c-4.4 0-8 3.6-8 8v64H384v-64c0-4.4-3.6-8-8-8h-56c-4.4 0-8 3.6-8 8v64H144c-17.7 0-32 14.3-32 32v664c0 17.7 14.3 32 32 32h736c17.7 0 32-14.3 32-32V216c0-17.7-14.3-32-32-32zm-40 656H184V460h656v380zM184 392V256h128v48c0 4.4 3.6 8 8 8h56c4.4 0 8-3.6 8-8v-48h256v48c0 4.4 3.6 8 8 8h56c4.4 0 8-3.6 8-8v-48h128v136H184z""></path></svg></span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div></div></div></div></div><div><div><div><div><label title=""government orbit"">government orbit</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>government orbit</span></label></div></div></div></div></div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" disabled="""" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><label title=""paper rush"">paper rush</label></div><div><div><div><label><span><input type=""radio"" value=""""/><span></span></span><span>paper rush</span></label></div></div><div><div role=""alert""><div>studied service bad factory</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><div><span title=""glad correct news""><span>glad correct news</span><span aria-hidden=""true"" unselectable=""on""><span aria-label=""close"" role=""img""><svg aria-hidden=""true"" data-icon=""close"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M563.8 512l262.5-312.9c4.4-5.2.7-13.1-6.1-13.1h-79.8c-4.7 0-9.2 2.1-12.3 5.7L511.6 449.8 295.1 191.7c-3-3.6-7.5-5.7-12.3-5.7H203c-6.8 0-10.5 7.9-6.1 13.1L459.4 512 196.9 824.9A7.95 7.95 0 00203 838h79.8c4.7 0 9.2-2.1 12.3-5.7l216.5-258.1 216.5 258.1c3 3.6 7.5 5.7 12.3 5.7h79.8c6.8 0 10.5-7.9 6.1-13.1L563.8 512z""></path></svg></span></span></span></div><div><div><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true""> </span></div></div></div></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>solution problem ill helpful parallel easy original transportation couple thrown</div></div><div></div></div></div></div><div></div></div></div><div></div></div></form>","[{""label"":null,""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":null,""picker"":""week"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""label"":""government orbit"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":null,""renderAs"":{""type"":""button"",""values"":{""label"":[""city""]}},""type"":""radio"",""options"":null},{""label"":""from"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""grew some crew smell terrible experiment shelter car"",""maxTagCount"":5,""mode"":""single"",""options"":null,""type"":""select""},{""label"":""paper rush"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""studied service bad factory"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""kind grow plastic"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""solution problem ill helpful parallel easy original transportation couple thrown"",""maxTagCount"":3,""mode"":""multiple"",""options"":null,""type"":""select""},{""type"":""treeSelect"",""options"":null,""defaultValue"":null}]"
7,<form><div><div></div></div></form>,"[{""type"":""upload"",""options"":null,""defaultValue"":null}]"
9,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>dust hunter show tone art outline husband passage thus army</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span></div><div><span>hearing beginning</span><span>certainly</span><span>once shoot</span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""55"" autocomplete=""off"" disabled="""" role=""spinbutton"" step=""1"" value=""55""/></div></div><span><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>its even here good must</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""week find"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""dust hunter show tone art outline husband passage thus army"",""text"":null,""type"":""switch"",""options"":null},{""label"":""body principle post"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":null,""min"":-100,""max"":100,""step"":4,""marks"":{""29"":""once shoot"",""-48"":""certainly"",""-51"":""hearing beginning""},""reversed"":true,""vertical"":false,""range"":true,""graduated"":true,""type"":""slider"",""options"":null},{""label"":""fourth century"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""its even here good must"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null}]"
11,"<form><div><div><div><div><div><div><div><div><div><div><div><div><input aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" disabled="""" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true""> </span></div></div></div><span></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div></div></div></div></div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>lucky write trouble shorter they rhythm involved thy ask</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""got thread love"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":null,""maxTagCount"":0,""multiple"":true,""options"":null,""type"":""cascader""},{""label"":""some nest modern"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""lucky write trouble shorter they rhythm involved thy ask"",""text"":null,""type"":""switch"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""neighbor"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":null,""text"":null,""type"":""switch"",""options"":null}]"
12,<form><div><div></div></div><div><div></div></div></form>,"[{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""upload"",""options"":null,""defaultValue"":null}]"
